trial,owner,repo,api_type,response_time_ms,response_size_bytes,http_status
9,nodejs,node,GraphQL,458.216,243,200
9,nodejs,node,REST,402.576,6037,200
9,django,django,REST,433.807,6209,200
9,django,django,GraphQL,547.163,248,200
9,rails,rails,GraphQL,421.206,208,200
9,rails,rails,REST,427.675,5969,200
9,laravel,laravel,REST,521.87,6228,200
9,laravel,laravel,GraphQL,389.733,387,200
9,flutter,flutter,GraphQL,463.665,276,200
9,flutter,flutter,REST,476.447,6655,200
9,denoland,deno,REST,581.938,6161,200
9,denoland,deno,GraphQL,425.822,242,200
9,rust-lang,rust,REST,424.778,6264,200
9,rust-lang,rust,GraphQL,432.424,258,200
9,apple,swift,REST,736.874,6249,200
9,apple,swift,GraphQL,425.746,227,200
9,libp2p,go-libp2p,REST,536.295,6195,200
9,libp2p,go-libp2p,GraphQL,525.744,222,200
9,python,cpython,GraphQL,528.175,231,200
9,python,cpython,REST,531.017,6080,200
10,facebook,react,GraphQL,425.56,249,200
10,facebook,react,REST,735.926,6035,200
10,vuejs,vue,GraphQL,424.343,274,200
10,vuejs,vue,REST,636.696,5949,200
10,microsoft,vscode,GraphQL,424.132,223,200
10,microsoft,vscode,REST,471.081,6517,200
10,torvalds,linux,GraphQL,494.135,215,200
10,torvalds,linux,REST,426.177,5079,200
10,tensorflow,tensorflow,GraphQL,431.35,254,200
10,tensorflow,tensorflow,REST,530.612,6822,200
10,twbs,bootstrap,GraphQL,419.965,312,200
10,twbs,bootstrap,REST,537.787,6205,200
10,ohmyzsh,ohmyzsh,GraphQL,355.746,544,200
10,ohmyzsh,ohmyzsh,REST,499.08,6661,200
10,angular,angular,REST,531.591,6473,200
10,angular,angular,GraphQL,425.62,241,200
10,golang,go,GraphQL,353.735,219,200
10,golang,go,REST,499.5,6125,200
10,kubernetes,kubernetes,REST,526.936,6600,200
10,kubernetes,kubernetes,GraphQL,453.266,252,200
10,nodejs,node,REST,507.366,6037,200
10,nodejs,node,GraphQL,424.892,243,200
10,django,django,REST,433.419,6209,200
10,django,django,GraphQL,395.664,248,200
10,rails,rails,GraphQL,447.42,208,200
10,rails,rails,REST,413.313,5969,200
10,laravel,laravel,REST,438.929,6228,200
10,laravel,laravel,GraphQL,418.435,387,200
10,flutter,flutter,REST,432.063,6655,200
10,flutter,flutter,GraphQL,644.636,276,200
10,denoland,deno,GraphQL,399.278,242,200
10,denoland,deno,REST,526.443,6161,200
10,rust-lang,rust,GraphQL,397.472,258,200
10,rust-lang,rust,REST,553.16,6264,200
10,apple,swift,GraphQL,419.856,227,200
10,apple,swift,REST,728.34,6249,200
10,libp2p,go-libp2p,REST,531.759,6195,200
10,libp2p,go-libp2p,GraphQL,423.639,222,200
10,python,cpython,GraphQL,387.044,231,200
10,python,cpython,REST,461.03,6080,200
11,facebook,react,REST,730.263,6035,200
11,facebook,react,GraphQL,424.691,249,200
11,vuejs,vue,REST,470.209,5949,200
11,vuejs,vue,GraphQL,353.253,274,200
11,microsoft,vscode,REST,655.806,6517,200
11,microsoft,vscode,GraphQL,530.687,223,200
11,torvalds,linux,REST,422.657,5079,200
11,torvalds,linux,GraphQL,419.501,215,200
11,tensorflow,tensorflow,REST,525.127,6822,200
11,tensorflow,tensorflow,GraphQL,387.895,254,200
11,twbs,bootstrap,GraphQL,452.54,312,200
